Sentiment,Text
negative,the holidays is really bad #fail
negative,this book is really bad #hateit
positive,that film is great #loveit
positive,I like cheese #thumbs-up
positive,I adore cheese #bestever
positive,I adore pop music #toptastic
positive,skiing is brilliant #loveit
positive,I love the holidays #brilliant
positive,tea is the best #bestever
positive,We adore that film #thumbs-up
positive,We adore this book #toptastic
negative,this game is awful #fail
positive,summer is brilliant #favorite
positive,cheese is great #favorite
positive,this band is the best #brilliant
negative,I loathe summer #thumbs-down
negative,this game is really bad #hateit
positive,this game is great #favorite
negative,I loathe that film #fail
positive,that film is brilliant #bestever
positive,that movie is the best #toptastic
positive,rock music is fantastic #toptastic
negative,skiing is rubbish #worstever
negative,I loathe that movie #fail
positive,winter is the best #loveit
negative,the holidays is terrible #rubbish
positive,this team is fantastic #loveit
negative,that film is rubbish #hateit
negative,that film is awful #worstever
negative,rock music is rubbish #worstever
negative,I dislike this team #nightmare
negative,cheese is really bad #hateit
positive,We like that movie #thumbs-up
positive,that band is brilliant #favorite
positive,coffee is fantastic #brilliant
positive,that band is the best #loveit
positive,I love coffee #thumbs-up
positive,winter is brilliant #brilliant
positive,I like that movie #toptastic
negative,We loathe this game #thumbs-down
negative,this game is terrible #thumbs-down
negative,I dislike summer #thumbs-down
negative,classical music is rubbish #rubbish
negative,I dislike coffee #thumbs-down
negative,I hate this team #nightmare
negative,I dislike tea #nightmare
negative,jam is terrible #nightmare
positive,pop music is brilliant #bestever
positive,that movie is fantastic #brilliant
positive,I love this book #loveit
positive,I adore cheese #toptastic
negative,that film is terrible #thumbs-down
negative,I dislike tea #hateit
negative,I loathe this team #rubbish
negative,I hate summer #worstever
negative,the holidays is terrible #thumbs-down
positive,classical music is great #favorite
negative,We dislike this book #hateit
negative,this book is awful #rubbish
negative,that movie is awful #hateit
negative,summer is rubbish #worstever
negative,I hate this book #worstever
positive,I love classical music #favorite
negative,I hate jam #rubbish
negative,jam is rubbish #rubbish
negative,that film is rubbish #worstever
positive,the holidays is great #toptastic
negative,this game is awful #worstever
negative,pop music is awful #fail
negative,that film is rubbish #fail
negative,We hate this book #thumbs-down
positive,I like skiing #favorite
positive,I adore the holidays #toptastic
negative,this book is rubbish #rubbish
negative,I dislike coffee #fail
negative,skiing is really bad #hateit
positive,this book is fantastic #bestever
negative,this book is rubbish #fail
negative,that movie is terrible #rubbish
positive,cheese is fantastic #thumbs-up
negative,We hate this game #fail
negative,I hate jam #worstever
negative,winter is rubbish #fail
positive,skiing is brilliant #thumbs-up
negative,summer is rubbish #fail
positive,that band is great #thumbs-up
positive,summer is great #brilliant
negative,I hate pop music #rubbish
positive,that band is brilliant #brilliant
negative,We loathe that film #hateit
negative,rock music is really bad #worstever
negative,I hate that movie #fail
negative,I loathe this band #hateit
positive,this band is great #bestever
positive,that movie is great #toptastic
negative,skiing is terrible #nightmare
negative,summer is really bad #rubbish
positive,this book is fantastic #favorite
positive,I love classical music #brilliant
positive,that film is brilliant #brilliant
positive,coffee is fantastic #bestever
positive,I like summer #toptastic
negative,summer is terrible #worstever
positive,cheese is the best #bestever
negative,I hate coffee #nightmare
positive,tea is brilliant #loveit
negative,coffee is rubbish #fail
positive,winter is the best #toptastic
negative,that film is terrible #hateit
negative,I loathe that movie #worstever
positive,I like classical music #bestever
positive,I love summer #bestever
positive,I adore rock music #thumbs-up
negative,tea is terrible #rubbish
negative,I hate pop music #hateit
negative,We loathe this team #thumbs-down
positive,I adore this game #thumbs-up
positive,summer is fantastic #brilliant
positive,this game is fantastic #toptastic
negative,that film is really bad #rubbish
positive,We adore this game #toptastic
positive,We like that movie #toptastic
positive,skiing is fantastic #brilliant
positive,coffee is brilliant #brilliant
positive,I love this team #bestever
negative,We hate that movie #rubbish
negative,coffee is really bad #nightmare
positive,coffee is brilliant #bestever
positive,I love that movie #favorite
negative,that movie is terrible #hateit
positive,I like that movie #loveit
negative,We loathe this team #nightmare
positive,I like this game #toptastic
negative,I dislike classical music #worstever
negative,summer is terrible #thumbs-down
negative,jam is terrible #thumbs-down
positive,the holidays is brilliant #toptastic
negative,that film is really bad #thumbs-down
positive,this game is the best #brilliant
negative,that movie is rubbish #hateit
positive,I love cheese #bestever
positive,summer is fantastic #toptastic
negative,I hate winter #thumbs-down
negative,We dislike this book #worstever
positive,tea is fantastic #bestever
positive,this book is brilliant #brilliant
negative,the holidays is awful #rubbish
positive,this team is fantastic #toptastic
positive,that film is fantastic #loveit
negative,I hate this band #fail
negative,cheese is really bad #thumbs-down
positive,this book is the best #bestever
positive,this book is the best #favorite
positive,jam is brilliant #favorite
positive,that film is fantastic #favorite
positive,tea is the best #favorite
positive,this book is great #brilliant
negative,coffee is terrible #thumbs-down
negative,rock music is terrible #rubbish
negative,We hate that film #rubbish
negative,skiing is rubbish #fail
positive,this band is great #favorite
positive,I adore coffee #favorite
negative,cheese is terrible #thumbs-down
negative,classical music is terrible #nightmare
negative,coffee is awful #worstever
positive,cheese is the best #thumbs-up
positive,rock music is the best #toptastic
negative,this game is really bad #rubbish
negative,pop music is really bad #fail
positive,this book is brilliant #loveit
positive,We love this game #bestever
positive,jam is fantastic #toptastic
negative,summer is awful #thumbs-down
negative,We loathe that film #thumbs-down
positive,I adore this book #thumbs-up
positive,coffee is great #favorite
negative,classical music is awful #rubbish
negative,this team is awful #worstever
positive,I like pop music #thumbs-up
negative,I loathe skiing #fail
positive,pop music is brilliant #thumbs-up
positive,pop music is fantastic #loveit
negative,We dislike this book #rubbish
negative,tea is really bad #nightmare
positive,this team is great #toptastic
negative,winter is really bad #rubbish
negative,winter is rubbish #worstever
negative,I loathe that band #rubbish
negative,classical music is terrible #fail
positive,that band is the best #brilliant
negative,this team is rubbish #worstever
positive,I like this team #toptastic
positive,that movie is fantastic #bestever
negative,this book is really bad #nightmare
positive,We love this game #brilliant
positive,pop music is the best #favorite
negative,skiing is awful #nightmare
positive,We adore that film #loveit
positive,I love this game #brilliant
positive,We love that film #favorite
positive,this game is the best #toptastic
positive,winter is fantastic #favorite
negative,this team is awful #fail
positive,I like classical music #favorite
positive,cheese is fantastic #favorite
negative,I loathe that movie #thumbs-down
positive,winter is great #brilliant
negative,We dislike that movie #fail
positive,I love this game #loveit
positive,I like tea #loveit
negative,We hate that film #worstever
positive,I love that band #toptastic
positive,I love classical music #bestever
positive,classical music is great #bestever
negative,I hate jam #nightmare
positive,I love this band #thumbs-up
negative,this band is rubbish #thumbs-down
positive,I adore jam #thumbs-up
positive,I adore this game #toptastic
negative,this team is terrible #nightmare
positive,I love coffee #brilliant
negative,cheese is awful #nightmare
negative,that film is awful #thumbs-down
negative,coffee is awful #rubbish
positive,that band is great #loveit
positive,this game is fantastic #bestever
positive,summer is the best #favorite
positive,rock music is fantastic #thumbs-up
negative,that film is awful #rubbish
positive,this band is the best #bestever
negative,that movie is awful #thumbs-down
positive,I adore winter #loveit
negative,this team is terrible #nightmare
positive,I love that movie #thumbs-up
positive,this game is great #loveit
negative,I dislike rock music #hateit
negative,this team is really bad #worstever
positive,I love that film #thumbs-up
negative,the holidays is rubbish #worstever
negative,I dislike winter #thumbs-down
positive,cheese is brilliant #thumbs-up
negative,I hate pop music #fail
positive,pop music is great #thumbs-up
positive,cheese is brilliant #toptastic
negative,I hate this book #hateit
positive,We love that film #toptastic
positive,I like tea #toptastic
negative,winter is really bad #thumbs-down
negative,I hate that band #fail
negative,jam is awful #rubbish
negative,I loathe winter #fail
positive,that film is the best #toptastic
positive,that band is fantastic #bestever
negative,jam is rubbish #nightmare
negative,tea is awful #hateit
negative,I dislike rock music #thumbs-down
positive,We adore that movie #thumbs-up
negative,I loathe skiing #hateit
positive,that movie is the best #favorite
positive,I like skiing #bestever
negative,that band is rubbish #rubbish
positive,that movie is brilliant #bestever
negative,that band is really bad #nightmare
positive,this book is fantastic #loveit
negative,I loathe this team #thumbs-down
positive,this game is fantastic #toptastic
negative,that film is terrible #fail
positive,I like pop music #loveit
positive,this book is the best #loveit
negative,I loathe this band #rubbish
negative,coffee is really bad #rubbish
negative,the holidays is rubbish #nightmare
negative,I hate classical music #worstever
positive,We love this team #thumbs-up
positive,I like classical music #brilliant
negative,that movie is rubbish #thumbs-down
positive,this team is fantastic #favorite
positive,classical music is fantastic #toptastic
positive,I love tea #favorite
negative,tea is terrible #worstever
negative,I loathe this game #thumbs-down
positive,this band is brilliant #thumbs-up
positive,tea is fantastic #thumbs-up
negative,I dislike this team #rubbish
negative,that movie is rubbish #fail
negative,skiing is rubbish #hateit
positive,this game is great #favorite
negative,I loathe classical music #fail
negative,tea is really bad #rubbish
negative,that movie is terrible #worstever
positive,I love summer #brilliant
negative,summer is really bad #hateit
positive,summer is brilliant #toptastic
positive,this game is fantastic #thumbs-up
negative,coffee is really bad #worstever
positive,cheese is brilliant #favorite
negative,I dislike rock music #nightmare
negative,this book is rubbish #worstever
positive,I adore summer #brilliant
positive,We like this book #favorite
negative,I loathe pop music #thumbs-down
negative,jam is awful #fail
positive,this band is fantastic #favorite
negative,I dislike summer #fail
negative,jam is really bad #worstever
positive,this game is brilliant #bestever
positive,that movie is brilliant #loveit
positive,classical music is brilliant #thumbs-up
negative,coffee is awful #thumbs-down
negative,classical music is really bad #hateit
positive,that band is brilliant #bestever
negative,We loathe that movie #worstever
negative,I loathe summer #fail
negative,We hate that film #fail
negative,We loathe this book #hateit
positive,this team is brilliant #brilliant
positive,classical music is brilliant #favorite
negative,this game is terrible #thumbs-down
positive,I adore summer #favorite
negative,rock music is awful #worstever
negative,We hate this book #nightmare
negative,this band is really bad #nightmare
positive,that movie is brilliant #thumbs-up
negative,this team is really bad #hateit
negative,I dislike coffee #worstever
negative,I loathe jam #nightmare
positive,I love that movie #bestever
positive,this game is brilliant #thumbs-up
positive,We adore that movie #loveit
negative,I hate this band #nightmare
negative,this book is terrible #fail
negative,I loathe this team #worstever
negative,summer is terrible #hateit
positive,I love summer #thumbs-up
positive,I adore coffee #brilliant
negative,I loathe tea #rubbish
negative,cheese is rubbish #thumbs-down
negative,We dislike that film #hateit
positive,this game is the best #thumbs-up
positive,this team is great #brilliant
negative,jam is really bad #hateit
negative,I dislike this band #nightmare
negative,pop music is really bad #rubbish
positive,this game is the best #loveit
negative,this book is awful #thumbs-down
negative,that film is terrible #nightmare
positive,the holidays is brilliant #loveit
negative,I hate cheese #thumbs-down
negative,pop music is terrible #fail
negative,I loathe pop music #fail
negative,this book is rubbish #nightmare
negative,I dislike rock music #worstever
negative,this band is terrible #fail
negative,I hate jam #thumbs-down
negative,tea is terrible #thumbs-down
positive,that movie is brilliant #thumbs-up
positive,winter is the best #favorite
positive,I like that band #loveit
positive,I love summer #loveit
positive,summer is great #bestever
positive,that film is brilliant #thumbs-up
positive,rock music is brilliant #bestever
positive,We adore this game #thumbs-up
negative,I hate rock music #hateit
negative,cheese is really bad #nightmare
negative,I dislike that movie #rubbish
negative,this band is awful #fail
positive,this game is great #toptastic
negative,skiing is really bad #fail
positive,I like the holidays #favorite
negative,I dislike pop music #hateit
positive,tea is fantastic #loveit
positive,cheese is great #toptastic
positive,cheese is the best #toptastic
positive,I adore winter #brilliant
positive,I adore summer #loveit
negative,that film is terrible #worstever
negative,I dislike coffee #nightmare
negative,pop music is really bad #nightmare
negative,this band is awful #nightmare
negative,We loathe this game #fail
negative,summer is really bad #nightmare
negative,this band is terrible #rubbish
positive,I like skiing #loveit
positive,jam is the best #toptastic
negative,the holidays is terrible #hateit
negative,I hate cheese #hateit
positive,this game is great #loveit
positive,skiing is the best #bestever
positive,this game is brilliant #favorite
negative,this team is really bad #thumbs-down
negative,that movie is really bad #thumbs-down
negative,that film is awful #fail
positive,rock music is brilliant #favorite
negative,the holidays is really bad #hateit
positive,this book is the best #toptastic
positive,I like winter #toptastic
negative,jam is rubbish #fail
positive,that movie is brilliant #favorite
negative,that movie is terrible #nightmare
positive,that movie is the best #loveit
positive,that film is great #loveit
negative,We dislike this game #fail
negative,this game is rubbish #rubbish
positive,that band is fantastic #brilliant
negative,I hate skiing #worstever
negative,I loathe summer #hateit
positive,I adore summer #toptastic
negative,this game is rubbish #thumbs-down
positive,We love that film #thumbs-up
negative,coffee is rubbish #thumbs-down
negative,jam is rubbish #hateit
negative,I loathe that band #nightmare
positive,We love this team #loveit
positive,this game is fantastic #thumbs-up
negative,I hate this game #worstever
positive,I adore skiing #bestever
positive,I love classical music #toptastic
positive,this book is great #thumbs-up
negative,tea is really bad #thumbs-down
negative,that movie is really bad #hateit
positive,jam is great #bestever
positive,I adore pop music #thumbs-up
negative,I hate tea #fail
positive,We adore this team #toptastic
positive,I adore skiing #thumbs-up
negative,I dislike jam #rubbish
negative,that band is terrible #rubbish
negative,that movie is really bad #hateit
positive,classical music is brilliant #brilliant
negative,I hate the holidays #rubbish
positive,skiing is fantastic #favorite
positive,I love this team #toptastic
positive,this team is fantastic #brilliant
negative,I hate the holidays #hateit
negative,We hate this team #fail
positive,classical music is the best #bestever
negative,winter is awful #nightmare
negative,I dislike that film #hateit
positive,jam is the best #bestever
positive,rock music is great #loveit
negative,I dislike this band #fail
positive,I like winter #favorite
positive,I love summer #toptastic
negative,I loathe pop music #worstever
negative,jam is terrible #worstever
negative,summer is awful #hateit
positive,rock music is the best #loveit
positive,that movie is brilliant #bestever
positive,this book is great #brilliant
negative,that band is awful #hateit
negative,classical music is awful #fail
positive,I like rock music #thumbs-up
negative,I hate pop music #nightmare
positive,that movie is the best #toptastic
negative,I dislike this team #hateit
negative,I dislike summer #hateit
positive,tea is great #favorite
negative,We hate that movie #worstever
negative,this team is rubbish #fail
negative,I loathe skiing #thumbs-down
positive,that movie is fantastic #loveit
negative,We dislike that film #worstever
positive,coffee is great #bestever
negative,I hate skiing #rubbish
positive,coffee is the best #favorite
negative,cheese is terrible #nightmare
positive,this book is fantastic #favorite
positive,rock music is the best #bestever
negative,I hate coffee #thumbs-down
positive,summer is brilliant #thumbs-up
negative,skiing is really bad #worstever
negative,the holidays is awful #hateit
positive,skiing is great #favorite
positive,that movie is the best #thumbs-up
positive,I love that film #brilliant
positive,summer is great #thumbs-up
positive,coffee is fantastic #favorite
negative,We loathe this game #hateit
positive,tea is great #bestever
positive,this team is the best #bestever
negative,that band is awful #worstever
negative,We dislike that film #nightmare
negative,I dislike that movie #worstever
negative,We hate this team #worstever
negative,that band is rubbish #fail
positive,We love this book #loveit
positive,this game is brilliant #brilliant
positive,I love that band #brilliant
positive,this game is brilliant #favorite
positive,I love pop music #brilliant
negative,I loathe that film #thumbs-down
negative,I hate winter #rubbish
positive,that film is great #thumbs-up
positive,this band is brilliant #brilliant
negative,this band is really bad #thumbs-down
negative,I dislike that band #nightmare
negative,pop music is awful #rubbish
negative,this band is rubbish #hateit
positive,skiing is brilliant #brilliant
positive,We like that movie #loveit
positive,We like that film #favorite
positive,I adore summer #thumbs-up
positive,I adore this band #favorite
positive,I like jam #thumbs-up
positive,I love rock music #thumbs-up
positive,We adore that film #toptastic
positive,I like rock music #bestever
positive,I adore jam #loveit
positive,rock music is brilliant #toptastic
negative,jam is really bad #fail
positive,We love that movie #brilliant
positive,I adore the holidays #bestever
negative,rock music is terrible #hateit
positive,I love this book #favorite
positive,We adore this book #favorite
negative,I hate that film #rubbish
negative,We loathe that movie #nightmare
negative,I dislike the holidays #nightmare
positive,We like this team #loveit
positive,this book is great #loveit
negative,rock music is rubbish #thumbs-down
negative,We dislike this game #worstever
negative,We hate this book #rubbish
positive,I love the holidays #toptastic
negative,this game is awful #rubbish
positive,this game is fantastic #brilliant
positive,that band is the best #thumbs-up
positive,this team is brilliant #favorite
negative,I hate the holidays #worstever
positive,that film is great #bestever
negative,I dislike skiing #thumbs-down
negative,cheese is really bad #rubbish
positive,We like this team #toptastic
positive,I like winter #bestever
negative,this game is awful #thumbs-down
negative,rock music is awful #hateit
positive,that movie is brilliant #loveit
positive,I like that band #favorite
negative,I hate cheese #worstever
positive,I adore this book #toptastic
negative,this team is rubbish #rubbish
negative,pop music is awful #hateit
positive,tea is brilliant #bestever
negative,We hate this book #hateit
positive,We love this book #brilliant
positive,the holidays is brilliant #favorite
negative,I loathe rock music #fail
negative,I loathe this game #worstever
negative,I loathe this book #hateit
positive,I adore that film #loveit
negative,that movie is terrible #fail
positive,classical music is the best #loveit
negative,I dislike this team #thumbs-down
positive,that band is fantastic #loveit
negative,We dislike this game #hateit
negative,I loathe this game #fail
positive,pop music is the best #toptastic
negative,that film is rubbish #worstever
negative,this book is terrible #thumbs-down
negative,this game is really bad #thumbs-down
positive,I adore coffee #bestever
negative,skiing is terrible #thumbs-down
positive,I adore that movie #loveit
negative,I loathe this book #fail
negative,I hate tea #thumbs-down
negative,this book is terrible #worstever
negative,skiing is really bad #nightmare
negative,I dislike winter #worstever
negative,winter is rubbish #hateit
positive,I like this book #bestever
positive,I adore classical music #loveit
positive,I like winter #thumbs-up
positive,We adore that film #bestever
positive,rock music is great #thumbs-up
positive,I like that movie #brilliant
positive,I like the holidays #bestever
positive,I love skiing #toptastic
positive,We adore that film #favorite
negative,pop music is rubbish #rubbish
negative,that band is rubbish #worstever
negative,I loathe coffee #thumbs-down
positive,that movie is fantastic #favorite
negative,pop music is awful #worstever
positive,I adore tea #toptastic
negative,that film is rubbish #rubbish
negative,I loathe rock music #worstever
positive,jam is fantastic #bestever
positive,skiing is the best #favorite
positive,I like this book #favorite
positive,this game is great #thumbs-up
positive,I adore rock music #favorite
positive,I like tea #favorite
positive,pop music is fantastic #brilliant
positive,the holidays is the best #thumbs-up
negative,that film is really bad #worstever
positive,I adore that movie #thumbs-up
positive,this book is fantastic #toptastic
positive,I like winter #loveit
negative,summer is awful #rubbish
negative,We dislike that film #fail
positive,summer is fantastic #bestever
positive,this band is great #thumbs-up
positive,this book is the best #thumbs-up
positive,I adore this band #bestever
negative,I hate this band #rubbish
negative,I dislike winter #fail
negative,skiing is really bad #thumbs-down
positive,I love cheese #toptastic
negative,pop music is really bad #hateit
positive,I like coffee #bestever
negative,this book is rubbish #nightmare
positive,We adore this game #loveit
positive,I love that movie #loveit
negative,I dislike pop music #thumbs-down
negative,this game is terrible #rubbish
negative,this team is awful #fail
negative,I hate winter #nightmare
positive,tea is fantastic #favorite
positive,that movie is the best #bestever
negative,this game is rubbish #nightmare
negative,this band is really bad #worstever
positive,I love that movie #brilliant
positive,I adore pop music #favorite
negative,that film is really bad #fail
negative,this team is rubbish #hateit
positive,I like summer #favorite
negative,I hate this band #hateit
positive,this team is great #bestever
positive,coffee is fantastic #toptastic
positive,this game is great #bestever
positive,skiing is fantastic #bestever
negative,I loathe summer #worstever
negative,cheese is terrible #worstever
positive,the holidays is brilliant #brilliant
positive,I adore rock music #toptastic
positive,this game is brilliant #toptastic
positive,We adore this game #brilliant
positive,We like this team #thumbs-up
positive,I like this team #loveit
negative,the holidays is really bad #thumbs-down
negative,that band is terrible #fail
negative,that film is really bad #nightmare
positive,this game is fantastic #loveit
